SENTENCETEXT	LABEL
"""नसर्ने रोगबाट हुने मृत्यु बढिरहेका बेला यस्ता कार्यक्रम ल्याउँदा सरकारले स्वास्थ्यमा गरेको लगानीले प्रतिफल दिने वरिष्ठ मुटुरोग विशेषज्ञ कोइराला बताउँछन्"""	0
"""सुर्तीजन्य पदार्थ नियन्त्रणसम्बन्धी ऐनमा उल्लेख गरिएका विषय राजपत्रमा प्रकाशित गरी फागुन मसान्तसम्म कार्यान्वयन गर्न ६ माघको मन्त्रिपरिषद् बैठकले स्वीकृति दिएको छ"""	1
"""करारको जागीर खाने कन्सल्ट्यान्ट नपाइने हुनाले लोकसेवाबाट स्थायी जागीर खोल्नुपर्ने उनी बताउँछन्"""	0
"""उनका अनुसार, एमबीबीएस गरेको विद्यार्थीको एक वर्ष सिकाइको समय भएकाले उसलाई सिनियर डाक्टर मातहत काम गराउनुपर्छ, सीधै हेल्थपोष्टको जिम्मेवारी दिनु गलत हुन्छ"""	-1
"""स्वास्थ्य मन्त्रालयले जिल्ला अस्पतालको जनशक्ति अभाव पूर्ति गर्न अञ्चल अस्पतालहरूबाट विशेषज्ञ डाक्टर उत्पादन गर्ने तयारी थालेको छ"""	1
"""पाँच वर्षभित्र दुई हजार विशेषज्ञ चिकित्सक उत्पादन गर्न यो वर्षदेखि अञ्चल अस्पतालमा स्नातकोत्तर तहको पढाइ शुरू हुँदैछ"""	1
"""पछिल्लो दशकमा देखिएको नेताहरुको व्यवहार र कार्यशैलीले राजनीतिप्रति नै वितृष्णा बढिरहेका बेला फेरि आशाको दियो बाल्ने काम त्यही नाति पुस्ताले गर्दैछ"""	1
"""उनी अहिले उपप्रधान तथा गृहमन्त्रीका रूपमा सरकारमा कांग्रेस पार्टीको नेतृत्व गरिरहेका छन्"""	0
"""पैसा, शक्ति र महत्वाकांक्षा विकसित लोकतान्त्रिक मुलुकहरूमा अर्थमन्त्रालयको राजनीतिक नेतृत्वलाई प्रधानमन्त्री पछिको शक्तिशाली पद मानिन्छ"""	1
"""गठबन्धन सरकारमा त गृहमन्त्री को हुने भन्नेमा सत्ता साझेदार दलहरूबीच मारामार नै हुने गरेको छ"""	-1
"""२००७ सालदेखि नेपालको गृहमन्त्री हुने व्यक्तिमाथि मुख्यतः भारतको आँखा पर्ने गरेको छ"""	-1
"""विमलेन्द्र निधिसम्म आइपुग्दा पनि त्यही देखिन्छ"""	-1
"""गृहमन्त्री पदको उपयोग कति महत्वपूर्ण छ भन्ने कुरा प्रहरी प्रमुखको पछिल्लो नियुक्ति प्रकरणले देखाइसकेको छ"""	0
"""२०७२ फागुनको महाधिवेशनमा देउवालाई पार्टी सभापति बनाउन लागिपरेका निधि महाधिवेशनपछि उपसभापति हुनेमा आशावादी थिए"""	1
"""त्रिवि शिक्षण अस्पताल फरेन्सिक विभागमा पोस्टमोर्टेम गर्दा लक्ष्मीको शरीरभर छाला कोतरिएको, टाउको र घाँटीमा चोट र नीलडाम देखिएको थियो"""	-1
"""घरेलु हिंसा सम्बन्धी उजुरीमा मिलापत्र गरेर फर्केपछि साँझ् रामनारायणले मञ्जुदेवीको हत्या गरेको प्रहरीको निष्कर्ष छ"""	-1
"""ऐनको यही कमजोरीमा टेकेर जघन्य खालका घरेलु हिंसाका घटनामा पनि प्रहरीले मेलमिलाप गराउँदै आएको छ"""	-1
"""न्याय प्रक्रियाको ढिलासुस्ती, अदालत महिलामैत्री नहुने जस्ता कारणले गर्दा पनि पीडितहरू न्यायको पहुँचमा आउन सकेका छैनन्, जसको फाइदा पीडकलाई भइरहेको छ"""	-1
"""महिला अधिकारसँग सम्बन्धित २०० भन्दा बढी कानून हुँदाहुँदै मिलापत्रको व्यवस्थाले पीडितलाई न्यायबाट वञ्चित गराएको छ"""	-1
"""सर्वोच्च अदालतमा हुँदा मैले हेरेको उदयपुरको जबर्जस्तीकरणी सम्बन्धी एउटा मुद्दा त्यसरी नै फिर्ता गरियो"""	-1
"""आर्थिक संकट परेपछि काम अघि बढाउन नसकेको गौतम बुद्ध अन्तराष्ट्रिय विमानस्थल निर्माणको ठेकेदार कम्पनीले काममा चासो दिएको छ"""	-1
"""तर, उल्लेखित महिनामै ठेकेदार कम्पनी आर्थिक संकटमा परेपछि उसले कामदारलाई समयमै तलब दिन सकेको थिएन"""	-1
"""१० करोड पेश्की कटौती गर्ने निर्णय निर्माण कम्पनीले काम सम्पन्न गरेपछि आयोजनाबाट पैसा लिने गर्छ"""	1
"""यस्तो पेश्कीलाई प्रत्येक महिनाको बिल पेश गरेपछि रकम दिँदा कटौति गर्ने गरिएको शर्माको भनाइ छ"""	0
"""तर, एड्भान्स बापत काटिनु पर्ने रकम काटिएको छैन, जसका कारण ठेकेदार कम्पनीसँग केही रकम बच्न पुगेको छ"""	1
"""काममा ढिलाइ गरेपछि केही समयअघि आयोजनाले नर्थवेस्टसँग स्पष्टीकरणसमेत मागेको थियो"""	-1
"""निर्माणपूर्व सुरुका कामहरुमा वास्तविक मूल्यभन्दा कममै काम सक्ने गरी गरेको सम्झौताले अहिले कम्पनीलाई आर्थिक रुपमा कमजोर बनाएको छ"""	-1
"""नर्थ वेस्ट कम्पनीले सुरुमा सम्झौता गर्दा २०१७ डिसेम्बर ३१ मा काम सक्ने बताएको थियो"""	1
"""भूकम्प र नाकाबन्दीका कारण काममा केही बाधा पुगेपछि यसको निर्माण गर्ने म्याद अहिले २०१८ को जूनसम्म छ"""	-1
"""तर, कुल रकमको १५ प्रतिशत भने निर्माण सुरु गर्ने बेलामा नै एड्भान्सको रुपमा यसले प्राप्त गरेको थियो"""	0
"""चिरञ्जीवी पौडेल  प्रतिक्रिया एमालेले सप्तरीमा गरेको आमसभा र त्यसपछि उत्पन्न हिंसालाई लिएर देशमा, विशेषत सामाजिक सञ्जालमा दुईखाले प्रतिक्रियाहरुको दोहोरी चलिरहेको छ"""	-1
"""मधेसमा सबैभन्दा बढी कांग्रेसले ५० सीट जितेको थियो"""	0
"""चिरञ्जीवी पौडेल अहिलेसम्म आएका खबरहरु अनुसार प्रधानमन्त्री प्रचण्डले आन्दोलनमा गोली नचलाउन आदेश दिएका थिए"""	1
"""एमालेको गल्ती, मोर्चाको ब्ल्याकमेलिङ मधेसी मोर्चाको माग सम्वोधन गर्न भन्दै सरकारले संविधान संशोधन विधेयक अघि सारेको छ, जुन अहिले संसदमा विचाराधीन छ"""	0
"""स्पष्ट छ, निर्वाचन प्रक्रियामा गइसकेपछि त्यसको परिणामलाई सबैले स्वीकार्नुपर्छ"""	1
"""तर यिनै नराम्रा मध्यका बाट छान्ने हो भने “एमाले” लाई छान्दा हुन्छ"""	0
"""श्रेष्ठसँगको भेट उनकै सामाखुसी निवास वा बैंकमा हुने गरेको थियो"""	0
"""आफूले सम्हालेको मन्त्रालय मातहत जिल्ला विकास समिति र वन मन्त्रालयबाट आवश्यक प्रबन्ध मिलाउन पनि श्रेष्ठको पदीय प्रभावले काम गरेको थियो"""	0
"""पर्यावरण जोगाएर घरेलु उद्योगको हैसियतमा मात्र क्रसर सञ्चालन गर्न पाइने नियम सचिवको हैसियतमा श्रेष्ठकै पालमा बनेको थियो"""	0
"""रिपोर्टर्स क्लवमा बिहिबार पत्रकार सम्मेलन गरेर पूर्वाञ्चल विश्वविद्यालय सुधार समितिले विश्वविद्यालयलाई भागबन्डाको शिकार नबनाउन आग्रह गरेकोछ"""	1
"""कारबाही गर्न शिक्षा मन्त्रालय मार्फत अख्तियारमा उजुरी दर्ता गरेपनि सात महिनासम्म विश्वविद्यालयको अनियमितताको बिषयमा छानविन नगरेको समितिको दाबी छ"""	-1
"""भनेर के गर्नु त, आकाश खस्छ भनेर आत्तिएर कामै नगर्न भएन, भूकम्प आउँछ भनेर बाहिरै ननिस्कन भएन"""	1
"""न्यायपरिषद्‌ले महाभियोगको सिफारिस गरेदेखि सर्वोच्चमा न्याय सम्पादनको कामबाट वञ्चित रहेका बम आज बगलामुखीबाट फर्कँदै गरेको बेला गोली हानिएको थियो"""	-1
"""घटनास्थल वरपर अमर नेपाल संयोजक रहेको नेपालवाद एन जे एस एस आर पार्टी नामको पर्चा भेटिएको हिमालय टिभीले बताएको छ"""	0
"""बमको विवादास्पद फैसला डा भक्तमान श्रेष्ठको चर्चित अपहरण कान्डसँग पनि जोडिन्छ"""	-1
"""बमको चिउँडो, घाँटीको रुद्रघण्टी, छातीका ३ ठाउँ, छाती नजिकैका कोखा र हातका औलाहरूसमेत गोली लागेको थियो"""	-1
"""कसले, किन, के उद्देश्य पूरा गर्न त्यसरी लगाएको होला, त्यो भने प्रहरीको अनुसन्धानपछि पक्कै खुल्ने नै छ"""	-1
"""बडीको गार्ड गर्न सकेनन् बडिगार्डले समाचारहरुमा नकाब लगाएर मोटरसाइकल चढिआएका दुई जनाले न्यायाधीश बम चढेको गाडीलाई रोकेको भनिएको छ"""	-1
"""बेलायती युवराज्ञी डायनाको कार दुर्घटनामा मृत्यु हुँदा पनि उनका बडिगार्ड अगाडिको सिटमा नै थिए"""	-1
"""यस्तै बडिगार्ड अरुको पनि छ भने उनीहरुको सुरक्षामा अब अर्कै ढंगले सोच्नुपर्ने बेला आएको छ"""	1
"""एकनास शङ्ख बजेको आवाजले होटेलमा बसेका सबै मान्छे बाहिरिन्छन्, हामी पनि बाहिरिन्छौँ"""	-1
"""यहाँ कुनै समय हिउँको एकछत्र राज थियो"""	1
"""त्यहाँ लास हुनुअघि त्यसले दिएका कष्टका बारेमा कुरा चलिरहेको थियो"""	-1
"""त्यस ढिस्कोको फेदमा तीन जना देखापरे र तिनीहरू उभिएर गलफत्ती गरिरहेका थिए"""	0
"""त्यस ठाउँबाट मैले नराम्रा कुरा मात्र सिकेँ, असल कुरा सिकिनँ, त्यसले भन्यो"""	-1
"""डोकाले छोपेर फेरि पानी खन्याउने उमेर यसले पार गरिसकेको थियो"""	0
"""नेपाल सरकारले ईपीएस कार्यालय स्थापना गरेर सर्वसुलभ र छिटोछरितो कामदार पठाएपछि कोरिया सरकारले नेपाललाई तीनपटक सम्मानसमेत गरिसकेको छ"""	1
"""एउटै रोजगारदातासँग लगातार कार्यअवधिसम्म काम गर्ने विदेशी कामदारलाई कोरियाले पुनः रोजगारीको अवसर खुल्ला गरेको छ"""	1
"""सघंले व्यवसायीहरुलाई भड्काउने काम गर्ने हैन, उनले भने, यसले व्यवसायीहरुलाई गलत काम गर्न प्रश्रय दिन्छ"""	-1
"""संघका महासचिव रोहन गुरुङले विभागले लागू गर्न लागेको अनलाइन प्रणालीले यो क्षेत्रलाई व्यवस्थित बनाउने बताए"""	0
"""आयोगले खुला गरेको रोजगारी आवेदनमा विभिन्न पदमा ६ सय ५१ तेस्रो लिंगीले आवेदन दिएको आयोगले जनाएको छ"""	0
"""उनले यसले धार्मिक सद्भाव कायम गर्न अझै मद्दत गरेको विश्वास ब्यक्त गरे"""	1
"""डिंपी भन्दा पहिले पनि कयौ बलिउड अभिनेत्रीहरु विवाह पुर्व गर्भवतीति भएका थिए"""	-1
"""सो बाटो विस्तार नगर्न चावहिलका स्थानिय बासिन्दाले पुनरावेदन अदालतमा रिट हालेका थिए"""	0
"""चावहिल देखी चुच्चेपाटीको सडक हालसम्म तीन पटक बिस्तार भई सकेको र बौद्ध जोरपाटीको तुलनामा चावहिलको बाटो फराकिलो छ"""	1
"""एकै साथ घर भत्काउन मजदुरको अभाव र बर्षातको समयका कारण तिहार पछि पनि बिस्तारले तिव्रगतिमा अगाडी बढ्ने सम्भावना कम देखिन्छ"""	-1
"""कार्यक्रमले कृषि सहकारी, कृषक समूह र निजी फार्मलाई अनुदान प्रदान गरेको छ"""	0
"""सरकारले आन्दोलनमा मारिएकालाई शहीद घोषणा गरी क्षतिपूर्ति, घाईतेको उपचार, अंगभंग भएकालाई राहत र झुठा मुद्दा फिर्ता लिए वार्ताको वातावरण बन्छ"""	0
"""आतङ्ककारी सङ्गठनले निर्दोष नागरिकको ज्यान लिएका इर्डोगानद्धारा जारी लिखित विज्ञप्तिमा जनाएका हुन्"""	-1
"""राष्ट्रपतिले आइतबार अपहन ४ बजे संसदमा रहेका सबै दललाई राष्ट्रपति भवन शीतल निवास बोलाएकी हुन"""	0
"""तर, मोर्चाका अन्य नेताका अनुसार उनी शनिबार बिहान काठमाडौंमै थिए"""	0
"""सहमतिअनुसार सबै विश्वविद्यालय र प्रतिष्ठानमा पदाधिकारी नियुक्तिका लागि मौजुदा कानुनमा परिवर्तन गर्न तीन महिनाभित्र सुझाव दिनेगरी उच्चस्तरीय समिति गठन हुने भएको छ"""	0
"""सरकारले एक प्रदेशमा एउटा मेडिकल कलेज खोल्ने पूर्वसहमतिअनुसार स्पष्ट कार्ययोजना बनाउने र कार्यान्वयनमा ल्याउने सहमति भएको छ"""	1
"""सहमति मन्त्रिपरिषद्बाट अनुमोदन गर्ने र कार्यान्वयन अवस्था अनुगमन गर्न उच्चस्तरीय समिति गठन गर्ने सहमतिसमेत भएको छ"""	1
"""निर्णयको पत्र लिएर मन्त्री थापा केसीलाई भेट्न अनशनस्थल पुगेका थिए"""	1
"""वार्तास्थलमा अपराह्न पुगेका स्वास्थ्यमन्त्रीले शिक्षामन्त्री धनीराम पौडेललाई समेत बोलाएका थिए"""	0
"""मस्यौदा हेरेपछि केसीले केही सुधारका लागि आग्रह गर्दै आइतबारमात्रै अनशन तोड्ने अडान राखेका थिए"""	1
"""उनको मागबारे वार्ता गर्न सरकारले १५औं दिनमात्रै समिति बनाएको थियो"""	0
"""संविधान संशोधनसहित विषयमा छलफल गर्न बसेको राप्रपा केन्द्रीय कार्यसम्पादन समिति बैठक निर्णय गर्न नसकी शनिबार सकिएको छ"""	0
"""फागुनमा महाधिवेशन केन्द्रीय कार्यसम्पादन समितिले फागुनको ६ देखि ९ गतेसम्म राजधानीमा एकीकृत महाधिवेशन गर्ने निर्णय गरेको छ"""	0
"""त्यसका लागि माघ १५ मा देशभर एकैपटक क्षेत्रीय अधिवेशन र माघ २० गते ७५ जिल्लामा अधिवेशन गरेर महाधिवेशन प्रतिनिधि छनोट गरिने छ"""	0
"""शंकरनगरका युवाले पनि प्रधानमन्त्री पुष्पकमल दाहालको पुतलासहितको जुलुस निकालेर संशोधन प्रस्तावको विरोध गरे"""	-1
"""साँझ पुष्पलाल पार्कमा केहीबेर आन्दोलनकारी र प्रहरीबीच झडप भएको थियो"""	-1
"""अर्घाखाँचीमा दिनहुँ प्रदर्शन यसैगरी ५ नम्बर प्रदेशको पहाडी जिल्ला अर्घाखाँचीमा पनि संशोधनविरुद्ध जुलुस निकालिएको छ"""	-1
"""पाल्पामा चर्कंदै आन्दोलन प्रदेश ५ का पहाडि जिल्ला ४ प्रदेशमा गाभ्ने विधेयकको विरोधमा शनिबार पाल्पाको सदरमुकाम तानसेनमा जुलुस निकालिएको छ"""	-1
"""तानसेन बजार परिक्रमापछि जुलुस कोणसभामा परिणत भएको थियो"""	-1
"""जनजाति महासंघ पल्पाद्वारा स्वागत नेपाल आदिवासी जनजाति महासंघ पाल्पाले सरकारले ल्याएको संविधान संशोधनको प्रस्तावलाई सकारात्मक रुपमा लिँदै समर्थन गरेको छ"""	1
"""महासंघ पाल्पाका अध्यक्ष केहरसिंह राना र सचिव रामबहादुर गरम्जाद्वारा हस्ताक्षरित प्रेसविज्ञप्तिमा विधेयकको स्वागत गरिएको छ"""	1
"""यस्तै पीडितका झन्डै दुई लाख गुनासाको सम्बोधन गर्न समेत कार्याविधि पारित नहुँदा समस्या भएको प्राधिकरणले जनाएको छ"""	-1
"""सरकारले मधेसवादी दलको माग सम्बोधन गर्न ५ नम्बर प्रदेशका पहाडी जिल्ला टुक्र्याएर ४ नम्बर प्रदेशमा गाभ्ने विधेयक संसद्मा लगेको छ"""	0
"""यसले गर्दा हाल ५ नम्बर प्रदेशमा रहेका सातवटा पहाडी जिल्लाका बासिन्दालाई ४ नम्बर प्रदेश अत्यन्तै असहज हुने उनीहरूको भनाइ छ"""	-1
"""यी जिल्लाका लागि बुटवल वा दाङ निकट छन्, जो हालको ५ नम्बर प्रदेशको सम्भावित राजधानी सहर हुन्"""	0
"""बसाइँ सराइका कारण हाल ५ नम्बर प्रदेशमा रहेका पहाडी जिल्लाको सांस्कृतिक तथा सामाजिक सम्बन्ध सोही प्रदेशका तराईका जिल्लासँग छ"""	0
"""यही सामाजिक सम्बन्धको कारण हुनुपर्छ ५ नम्बर प्रदेशअन्तर्गतका तराईका जिल्ला बुटवल, दाङमा पनि आन्दोलनको आगो बलेको छ"""	-1
"""नाकाबन्दीकै समयमा भारतले ७ बुँदे संशोधन प्रस्ताव अघि सारेको थियो"""	0
"""बन्दप्रति उद्योग वाणिज्य सङ्घ, प्याब्सन, नेपाल पत्रकार महासङ्घ र अन्तरपार्टी महिला सञ्जालको पनि ऐक्यबद्धता छ"""	0
"""रेडियो जननीले विभिन्न व्यक्तिलाई जननी अवार्ड र जननी सम्मान प्रदान गर्दै स्थापनाको तेस्रो वाषिर्कोत्सव मनाएको छ"""	1
"""अनुपम म्यूजिक, पोखराको प्रस्तुति रहेको गीतको अडियो रेर्कर्डका लागि समिभन्ज्याङ गाविस र नागभैरव संस्कृति संरक्षण समूहले विशेष सहयोग गरेका थिए"""	0
"""भिडियोले समिभञ्ज्याङको पहिचान दिलाउन महत्वपूर्ण भूमिका खेल्ने तान्द्राङकोट परिसर विकास समितिका अध्यक्ष मेमबहादुर गुरुङले बताए"""	0
"""स्याङ्जास्थित विरुवा बजारमा फागुन २९ देखि चैत २ गतेसम्म ११ औ विरुवा बजार महोत्सव हुने भएको छ"""	1
"""अध्यक्ष मियाँका अनुसार महोत्सवमा वडास्तरीय पुरुष भलिबल प्रतियोगिता, लोकदोहोरी, नृत्य प्रतियोगिता, कृषि प्रदर्शनी, बालादेवी मन्दिरको पूजालगायत कार्यक्रम हुने भएको छ"""	1
"""वक्तृत्वकलामा उत्कृष्ट धौलागिरी आवासीयकी प्रीति तुलाचन र जनहित माविकी सविना विक, उत्कृष्ट नृत्यतर्फ धौलागिरी र जनहित माविका विद्यार्थीलाई पुरस्कृत गरिएको थियो"""	1
"""उनले पोखरासँगै तनहुँ र अन्य छिमेकी जिल्लालाई जोड्ने अभियानलाई पनि सँगसगै लिएर अगाडि बढ्ने बताए"""	1
"""तनहुँ सर्म्पर्क समाजका अध्यक्ष शिवराज पौडेलले डा थापाको समाजप्रतिको सदासयता समाजले कहिल्यै भुल्न नसक्ने बताए"""	1
"""छेलोमा प्रथमले सात हजार र द्वितीयले पाँच हजार रुपैयाँ साथमा मेडल र प्रमाणपत्र रहेको छ"""	1
"""मेलाको लागि टक्सार स्याङ्जा, फिरफिरे तनहुँ, जिल्ला प्रशासन कार्यलय स्याङजा र सुरौदी खोला जलाधार विकास समितिको सहयोग रहने आयोजकले बताएको छ"""	1
"""प्राचीनकालमा टक्सार खलङ्गा गाविसको देउराली डाँडामा सैन्य परेड खेल्ने स्थल तथा भवनको भग्नावशेष हालसम्म पनि देख्न सकिन्छ"""	1
"""तत्कालीन राजा मानदेवको पालाको सिक्कार बाइसे चौबिसे राज्यको सरकारी प्रशासनिक कार्य सञ्चालन तथा मुद्रा वितरण गर्ने ऐतिहासिक क्षेत्रका रुपमा टक्सारलाई लिइन्छ"""	1
"""प्राचीनकालदेखि उक्त क्षेत्रमा होली पूणिर्माको भोलिपल्ट होली देवीको पूजा गरी सार्वजनिक मेला लाग्ने प्रचलन रहेको किम्वदन्ती छ"""	1
